mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
-26.9297847,107.3340076,-46.80999314,40.93263381,-21.46377582,24.81627495,-18.94557135,15.25345946,-15.05010408,12.26282276,-15.2340499,14.33661217,-13.82176877,7.562788734,-6.181372493,0.330165006,-6.829571234,0.965921744,-7.570824747,2.918986943,blues
-233.8607719,136.1702391,3.289489746,48.9311927,8.699106029,13.95475177,5.359448746,0.381334016,-13.49026502,16.87176853,5.145257765,-2.250577765,3.959197787,5.322554727,0.812028402,-1.1072016,-4.556555095,-2.436489803,3.316912612,-0.608484894,blues
-221.8025493,110.8430705,18.62098358,30.9229964,3.291329639,22.58744675,-20.41830257,12.12099491,-26.34795623,-4.356270119,-26.40667424,-13.03772344,-12.6522277,-1.821905314,-7.260096643,-6.660251774,-14.68269352,-11.71926356,-11.02521621,-13.38726005,blues
-207.20808,132.7991755,-15.43898557,60.98672701,0.725806999,12.4378277,1.183835723,-1.540779448,-17.88815391,8.358496131,-2.45206763,-0.613248178,0.38487737,2.605127927,-5.188923751,-9.527455287,-9.244394049,-2.848273751,-1.418706862,-5.93260696,blues
-145.4345676,102.8290234,-12.51767705,56.99347248,2.271347314,26.59140169,-4.274803265,17.33880938,-7.985592904,15.23542685,-6.934599487,7.457217936,-10.47044404,-2.360483396,-6.7836235,2.671134086,-4.760879375,-0.949004851,0.024832053,-2.005314621,blues
-95.43602667,105.2166999,-26.95301214,60.83087296,-4.828224038,21.53847091,-13.51477824,12.12210695,-20.23363443,12.1386576,-5.227018433,10.26257519,-9.438187173,3.867534655,-10.18745284,3.588092744,-3.100752645,0.194596849,0.842871832,-3.416576421,blues
-116.5174019,97.43027908,-13.88019079,48.96675901,-22.58224352,27.7539693,-20.22864953,18.63077043,-14.642884,8.473100382,-16.64465499,10.99819032,-13.86180078,9.735367422,-5.089488005,2.63463793,-9.883816293,6.159058835,-7.682607919,-4.852478817,blues
-67.77097956,111.7041844,-34.64610469,61.33489585,0.050251668,30.56061363,-12.70172482,21.15956663,-13.1311449,16.28229439,-6.335244724,12.29583184,-12.47798835,1.681277903,-5.142068413,4.644001793,-6.919217465,1.040718341,-4.736870881,-0.660037066,blues
-249.2819959,130.9979243,0.665435009,66.69611479,17.90589452,4.62295984,6.610036443,1.245375534,1.41917471,-1.584292524,-0.974159309,-3.575064543,-2.926914689,4.598685627,7.478114826,-0.178769574,-2.818857418,-2.667636366,0.751667098,-0.533179328,blues
-305.7051872,113.0609114,12.11872261,45.03000324,17.76975937,14.57991675,4.166733602,0.225273155,-7.021746776,13.64427154,8.934528985,1.298478063,5.954477764,8.543866906,1.117663746,0.591558672,0.057473911,-3.712341583,-1.004448062,-1.802433851,blues
-350.4362044,169.5457525,31.82037204,16.682836,28.71014699,19.25697515,7.863395228,10.03676417,4.735106442,2.90746613,3.915552617,1.821689658,-5.970891627,-5.259567526,-0.22921075,-1.776850528,-3.713751193,0.181590195,2.072390115,-2.89622457,blues
